LEVEL;PLACE;TYPE;CHAPTERéCODE;BLOCKéCODE;CODEéW;CODE;CODEéWITHOUTéDOT;TITLE;M1;M2;M3;M4;M
4;T;X;5;F60;F64.0;F64.0;F640;Transexualidad;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F64.1;F64.1;F641;Doble función travestismo;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F64.2;F64.2;F642;El trastorno de identidad de género de la infancia;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F64.8;F64.8;F648;Otros trastornos de identidad de género;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F64.9;F64.9;F649;Trastorno de identidad sexual, sin especificar;119;4-044;3-059;2-072;1-057
3;N;X;5;F60;F65.-;F65;F65;Trastornos del deseo sexual;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F65.0;F65.0;F650;Fetichismo;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F65.1;F65.1;F651;El travestismo fetichista;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F65.2;F65.2;F652;Exhibicionismo;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F65.3;F65.3;F653;Voyeurismo;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F65.4;F65.4;F654;Pedofilia;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F65.5;F65.5;F655;Sadomasoquismo;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F65.6;F65.6;F656;Trastornos múltiples de preferencia sexual;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F65.8;F65.8;F658;Otros trastornos de la preferencia sexual;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F65.9;F65.9;F659;Trastorno del deseo sexual, sin especificar;119;4-044;3-059;2-072;1-057
3;N;X;5;F60;F66.-;F66;F66;Trastornos psicológicos y conductuales asociados con el desarrollo sexual y la orientación;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F66.0;F66.0;F660;Trastorno de la maduración sexual;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F66.1;F66.1;F661;Orientación sexual egodistónicos;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F66.2;F66.2;F662;Trastorno de la relación sexual;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F66.8;F66.8;F668;Otros trastornos del desarrollo psicosexual;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F66.9;F66.9;F669;Trastorno del desarrollo psicosexual, no especificado;119;4-044;3-059;2-072;1-057
3;N;X;5;F60;F68.-;F68;F68;Otros trastornos de la personalidad del adulto y el comportamiento;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F68.0;F68.0;F680;Elaboración de síntomas físicos por razones psicológicas;119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F68.1;F68.1;F681;La producción intencionada o fingimiento de síntomas o discapacidad, ya sea física o psicológica [trastorno ficticio];119;4-044;3-059;2-072;1-057
4;T;X;5;F60;F68.8;F68.8;F688;Otros trastornos especificados de la personalidad y el comportamiento de los adultos;119;4-044;3-059;2-072;1-057
3;T;X;5;F60;F69;F69;F69;Trastorno no especificado de la personalidad adulta y el comportamiento;119;4-044;3-059;2-072;1-057
3;N;X;5;F70;F70.-;F70;F70;Retraso mental leve;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F70.0;F70.0;F700;Retraso mental leve: Con la declaración de nulo o mínimo, el deterioro de la conducta;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F70.1;F70.1;F701;Retraso mental leve: deterioro significativo de la atención que requieren un comportamiento o el tratamiento;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F70.8;F70.8;F708;Retraso mental leve: Otras deficiencias de comportamiento;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F70.9;F70.9;F709;Retraso mental leve: Sin mención de alteración de la conducta;118;4-044;3-059;2-072;1-057
3;N;X;5;F70;F71.-;F71;F71;Retraso mental moderado;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F71.0;F71.0;F710;Retraso mental moderado: Con la declaración de nulo o mínimo, el deterioro de la conducta;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F71.1;F71.1;F711;Retraso mental moderado: deterioro significativo de la atención que requieren el comportamiento o el tratamiento;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F71.8;F71.8;F718;Retraso mental moderado: Otras deficiencias de comportamiento;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F71.9;F71.9;F719;Retraso mental moderado: Sin mención de alteración de la conducta;118;4-044;3-059;2-072;1-057
3;N;X;5;F70;F72.-;F72;F72;Retraso mental grave;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F72.0;F72.0;F720;Retraso mental grave: Con la declaración de nulo o mínimo, el deterioro de la conducta;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F72.1;F72.1;F721;Retraso mental grave: el deterioro significativo de la atención que requieren el comportamiento o el tratamiento;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F72.8;F72.8;F728;Retraso mental grave: Otras deficiencias de comportamiento;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F72.9;F72.9;F729;Retraso mental grave: Sin mención de alteración de la conducta;118;4-044;3-059;2-072;1-057
3;N;X;5;F70;F73.-;F73;F73;Retraso mental profundo;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F73.0;F73.0;F730;Retraso mental profundo: Con la declaración de nulo o mínimo, el deterioro de la conducta;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F73.1;F73.1;F731;Retraso mental profundo: el deterioro significativo de la atención que requieren un comportamiento o el tratamiento;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F73.8;F73.8;F738;Retraso mental profundo: Otras deficiencias de comportamiento;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F73.9;F73.9;F739;Retraso mental profundo: Sin mención de alteración de la conducta;118;4-044;3-059;2-072;1-057
3;N;X;5;F70;F78.-;F78;F78;Retraso mental otras;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F78.0;F78.0;F780;Otros retraso mental: Con la declaración de nulo o mínimo, el deterioro de la conducta;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F78.1;F78.1;F781;Otros retraso mental: deterioro significativo de la atención que requieren el comportamiento o el tratamiento;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F78.8;F78.8;F788;Otros retraso mental: Otras deficiencias de comportamiento;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F78.9;F78.9;F789;Otros retraso mental: Sin mención de alteración de la conducta;118;4-044;3-059;2-072;1-057
3;N;X;5;F70;F79.-;F79;F79;Retraso mental no especificado;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F79.0;F79.0;F790;Retraso mental, no especificado: Con la declaración de nulo o mínimo, el deterioro de la conducta;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F79.1;F79.1;F791;Retraso mental, no especificado: deterioro significativo de la atención que requieren el comportamiento o el tratamiento;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F79.8;F79.8;F798;Retraso mental, no especificado: Otras deficiencias de comportamiento;118;4-044;3-059;2-072;1-057
4;T;S;5;F70;F79.9;F79.9;F799;Retraso mental, no especificado: Sin mención de alteración de la conducta;118;4-044;3-059;2-072;1-057
3;N;X;5;F80;F80.-;F80;F80;Trastornos específicos del desarrollo del habla y el lenguaje;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F80.0;F80.0;F800;Específicos del habla trastorno de articulación;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F80.1;F80.1;F801;Trastorno del lenguaje expresivo;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F80.2;F80.2;F802;Trastorno del lenguaje receptivo;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F80.3;F80.3;F803;Afasia adquirida con epilepsia [Landau-Kleffner];119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F80.8;F80.8;F808;Otros trastornos del desarrollo del habla y del lenguaje;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F80.9;F80.9;F809;Trastorno del desarrollo del habla y del lenguaje, no especificado;119;4-044;3-059;2-072;1-057
3;N;X;5;F80;F81.-;F81;F81;Trastornos específicos del desarrollo de habilidades escolares;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F81.0;F81.0;F810;Trastorno específico de lectura;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F81.1;F81.1;F811;Trastorno de ortografía específicas;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F81.2;F81.2;F812;Trastorno específico de las habilidades aritméticas;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F81.3;F81.3;F813;Trastorno mixto de las habilidades escolares;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F81.8;F81.8;F818;Otros trastornos del desarrollo de habilidades escolares;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F81.9;F81.9;F819;Trastorno del desarrollo de habilidades escolares, no especificado;119;4-044;3-059;2-072;1-057
3;T;X;5;F80;F82;F82;F82;Trastorno específico del desarrollo de la función motora;119;4-044;3-059;2-072;1-057
3;T;X;5;F80;F83;F83;F83;Mezcla de trastornos específicos del desarrollo;119;4-044;3-059;2-072;1-057
3;N;X;5;F80;F84.-;F84;F84;Trastornos generalizados del desarrollo;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F84.0;F84.0;F840;La infancia el autismo;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F84.1;F84.1;F841;Autismo atípico;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F84.2;F84.2;F842;El síndrome de Rett;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F84.3;F84.3;F843;Trastorno desintegrativo infantil Otros;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F84.4;F84.4;F844;Trastorno hiperactivo asociado con retraso mental y movimientos estereotipados;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F84.5;F84.5;F845;El síndrome de Asperger;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F84.8;F84.8;F848;Otros trastornos generalizados del desarrollo;119;4-044;3-059;2-072;1-057
4;T;X;5;F80;F84.9;F84.9;F849;Trastorno generalizado del desarrollo no especificado;119;4-044;3-059;2-072;1-057
3;T;X;5;F80;F88;F88;F88;Otros trastornos del desarrollo psicológico;119;4-044;3-059;2-072;1-057
3;T;X;5;F80;F89;F89;F89;Trastorno no especificado del desarrollo psicológico;119;4-044;3-059;2-072;1-057
3;N;X;5;F90;F90.-;F90;F90;Trastornos hipercinéticos;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F90.0;F90.0;F900;Perturbación de la actividad y la atención;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F90.1;F90.1;F901;Trastorno de la conducta hipercinéticos;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F90.8;F90.8;F908;Otros trastornos hipercinéticos;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F90.9;F90.9;F909;Trastorno hipercinético, no especificado;119;4-044;3-059;2-072;1-057
3;N;X;5;F90;F91.-;F91;F91;Trastornos de la conducta;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F91.0;F91.0;F910;Trastorno de conducta limitado al contexto familiar;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F91.1;F91.1;F911;Conducta socializado trastorno;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F91.2;F91.2;F912;Conducta socializada trastorno;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F91.3;F91.3;F913;El trastorno negativista desafiante;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F91.8;F91.8;F918;Otros trastornos de la conducta;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F91.9;F91.9;F919;El trastorno de conducta, no especificada;119;4-044;3-059;2-072;1-057
3;N;X;5;F90;F92.-;F92;F92;Trastornos mixtos de conducta y las emociones;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F92.0;F92.0;F920;Depresivo el trastorno de conducta;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F92.8;F92.8;F928;Otros trastornos mixtos de conducta y las emociones;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F92.9;F92.9;F929;Trastorno mixto de la conducta y las emociones, no especificado;119;4-044;3-059;2-072;1-057
3;N;X;5;F90;F93.-;F93;F93;Trastornos emocionales de inicio específicas de la infancia;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F93.0;F93.0;F930;Trastorno de ansiedad de separación de la infancia;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F93.1;F93.1;F931;Trastorno de ansiedad fóbica de la infancia;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F93.2;F93.2;F932;Trastorno de ansiedad social de la infancia;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F93.3;F93.3;F933;Hermano trastorno rivalidad;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F93.8;F93.8;F938;Otros trastornos emocionales de la infancia;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F93.9;F93.9;F939;La infancia trastorno emocional, no especificado;119;4-044;3-059;2-072;1-057
3;N;X;5;F90;F94.-;F94;F94;Trastornos de la función social con la aparición específicas de la infancia y la adolescencia;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F94.0;F94.0;F940;Mutismo electivo;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F94.1;F94.1;F941;Trastorno de vinculación reactiva de la infancia;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F94.2;F94.2;F942;Trastorno de vinculación desinhibido de la infancia;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F94.8;F94.8;F948;Otros trastornos de la infancia de la actividad social;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F94.9;F94.9;F949;La infancia trastorno de la actividad social, sin especificar;119;4-044;3-059;2-072;1-057
3;N;X;5;F90;F95.-;F95;F95;Tic trastornos;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F95.0;F95.0;F950;Trastorno de tic transitorio;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F95.1;F95.1;F951;Motores o vocales crónicos Trastorno de tic;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F95.2;F95.2;F952;Combinado vocales y motores múltiples trastorno de tic [de la Tourette];119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F95.8;F95.8;F958;Otros trastornos de tics;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F95.9;F95.9;F959;Trastorno de tic, no especificado;119;4-044;3-059;2-072;1-057
3;N;X;5;F90;F98.-;F98;F98;Otros trastornos emocionales y de conducta con inicio generalmente en la infancia y la adolescencia;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F98.0;F98.0;F980;La enuresis no orgánica;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F98.1;F98.1;F981;Encopresis no orgánica;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F98.2;F98.2;F982;Trastorno de alimentación en la infancia y la ni–ez;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F98.3;F98.3;F983;Pica de la infancia y la ni–ez;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F98.4;F98.4;F984;Trastornos del movimiento estereotipado;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F98.5;F98.5;F985;La tartamudez [balbuceo];119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F98.6;F98.6;F986;Abarrotar;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F98.8;F98.8;F988;Comportamiento que se especifique y los trastornos emocionales de inicio generalmente en la infancia y la adolescencia;119;4-044;3-059;2-072;1-057
4;T;X;5;F90;F98.9;F98.9;F989;Comportamiento no especificados y los trastornos emocionales de inicio generalmente en la infancia y la adolescencia;119;4-044;3-059;2-072;1-057
3;T;X;5;F99;F99;F99;F99;Trastorno mental no especificado de otra;119;4-044;3-059;2-072;1-057
3;N;X;6;G00;G00.-;G00;G00;La meningitis bacteriana, no clasificados en otra parte;120;4-020;3-027;2-049;1-059
4;T;X;6;G00;G00.0;G00.0;G000;Meningitis por Haemophilus;120;4-020;3-027;2-049;1-059
4;T;X;6;G00;G00.1;G00.1;G001;La meningitis neumocócica;120;4-020;3-027;2-049;1-059
4;T;X;6;G00;G00.2;G00.2;G002;Estreptococos meningitis;120;4-020;3-027;2-049;1-059
4;T;X;6;G00;G00.3;G00.3;G003;La meningitis por estafilococos;120;4-020;3-027;2-049;1-059
4;T;X;6;G00;G00.8;G00.8;G008;Meningitis bacteriana;120;4-020;3-027;2-049;1-059
4;T;X;6;G00;G00.9;G00.9;G009;La meningitis bacteriana, no especificada;120;4-020;3-027;2-049;1-059
3;T;X;6;G00;G01*;G01;G01;La meningitis bacteriana en enfermedades clasificadas en otra parte;120;UNDEF;UNDEF;UNDEF;UNDEF
3;N;X;6;G00;G02.-*;G02;G02;Meningitis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte;120;UNDEF;UNDEF;UNDEF;UNDEF
4;T;X;6;G00;G02.0*;G02.0;G020;Meningitis en enfermedades virales clasificadas en otra parte;120;UNDEF;UNDEF;UNDEF;UNDEF
4;T;X;6;G00;G02.1*;G02.1;G021;Meningitis en las micosis;120;UNDEF;UNDEF;UNDEF;UNDEF
4;T;X;6;G00;G02.8*;G02.8;G028;Meningitis en otras enfermedades infecciosas y parasitarias especificadas clasificadas en otra parte;120;UNDEF;UNDEF;UNDEF;UNDEF
3;N;X;6;G00;G03.-;G03;G03;Meningitis debida a otras causas y no especificadas;120;4-020;3-027;2-049;1-059
4;T;X;6;G00;G03.0;G03.0;G030;Nonpyogenic meningitis;120;4-020;3-027;2-049;1-059
4;T;X;6;G00;G03.1;G03.1;G031;La meningitis crónica;120;4-020;3-027;2-049;1-059
4;T;X;6;G00;G03.2;G03.2;G032;Meningitis recurrente benigna [Mollaret];120;4-020;3-027;2-049;1-059
4;T;X;6;G00;G03.8;G03.8;G038;Meningitis por otras causas especificadas;120;4-020;3-027;2-049;1-059
4;T;X;6;G00;G03.9;G03.9;G039;Meningitis, no especificada;120;4-020;3-027;2-049;1-059
3;N;X;6;G00;G04.-;G04;G04;Encefalitis, mielitis y encefalomielitis;120;4-021;3-028;2-072;1-061
4;T;X;6;G00;G04.0;G04.0;G040;La encefalitis aguda diseminada;120;4-021;3-028;2-072;1-061
4;T;X;6;G00;G04.1;G04.1;G041;Paraplejia espástica tropical;120;4-021;3-028;2-072;1-061
4;T;X;6;G00;G04.2;G04.2;G042;Meningoencefalitis bacterianas y meningomyelitis no clasificados en otra parte;120;4-021;3-028;2-072;1-061
4;T;X;6;G00;G04.8;G04.8;G048;Otras encefalitis, mielitis y encefalomielitis;120;4-021;3-028;2-072;1-061
4;T;X;6;G00;G04.9;G04.9;G049;Encefalitis, mielitis y encefalomielitis, no especificadas;120;4-021;3-028;2-072;1-061
3;N;X;6;G00;G05.-*;G05;G05;Encefalitis, mielitis y encefalomielitis en enfermedades clasificadas en otra parte;120;4-021;3-028;2-072;1-061
4;T;X;6;G00;G05.0*;G05.0;G050;Encefalitis, mielitis y encefalomielitis en enfermedades bacterianas clasificadas en otra parte;120;4-021;3-028;2-072;1-061
4;T;X;6;G00;G05.1*;G05.1;G051;Encefalitis, mielitis y encefalomielitis en enfermedades virales clasificadas en otra parte;120;4-021;3-028;2-072;1-061
4;T;X;6;G00;G05.2*;G05.2;G052;Encefalitis, mielitis y encefalomielitis en otras enfermedades infecciosas y parasitarias clasificadas en otra parte;120;4-021;3-028;2-072;1-061
4;T;X;6;G00;G05.8*;G05.8;G058;Encefalitis, mielitis y encefalomielitis en otras enfermedades clasificadas en otra parte;120;4-021;3-028;2-072;1-061
3;N;X;6;G00;G06.-;G06;G06;Absceso intracraneal e intraespinal y granuloma;120;4-021;3-028;2-072;1-061
4;T;X;6;G00;G06.0;G06.0;G060;Absceso intracraneal y granuloma;120;4-021;3-028;2-072;1-061
4;T;X;6;G00;G06.1;G06.1;G061;Absceso intramedular y granuloma;120;4-021;3-028;2-072;1-061
4;T;X;6;G00;G06.2;G06.2;G062;Absceso epidural y subdural, no especificado;120;4-021;3-028;2-072;1-061
3;T;X;6;G00;G07*;G07;G07;Absceso intracraneal e intraespinal y granuloma en enfermedades clasificadas en otra parte;120;4-021;3-028;2-072;1-061
3;T;X;6;G00;G08;G08;G08;Flebitis intracraneal e intraespinal y tromboflebitis;120;4-021;3-028;2-072;1-061
3;T;X;6;G00;G09;G09;G09;Secuelas de enfermedades inflamatorias del sistema nervioso central;120;4-021;3-028;2-072;1-061
3;T;X;6;G10;G10;G10;G10;La enfermedad de Huntington;129;4-021;3-028;2-072;1-061
3;N;X;6;G10;G11.-;G11;G11;Ataxia hereditaria;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G11.0;G11.0;G110;Congénita no progresiva, ataxia;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G11.1;G11.1;G111;Inicio temprano ataxia cerebelosa;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G11.2;G11.2;G112;De inicio tardío ataxia cerebelosa;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G11.3;G11.3;G113;Ataxia cerebelosa con reparación defectuosa del ADN;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G11.4;G11.4;G114;Paraplejia espástica hereditaria;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G11.8;G11.8;G118;Otras ataxias hereditarias;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G11.9;G11.9;G119;Ataxia hereditaria, no especificada;129;4-021;3-028;2-072;1-061
3;N;X;6;G10;G12.-;G12;G12;La atrofia muscular espinal y síndromes relacionados;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G12.0;G12.0;G120;Atrofia muscular espinal infantil tipo I [Werdnig-Hoffman];129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G12.1;G12.1;G121;Otros heredado la atrofia muscular espinal;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G12.2;G12.2;G122;Enfermedad de la motoneurona;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G12.8;G12.8;G128;Otros atrofia muscular espinal y síndromes relacionados;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G12.9;G12.9;G129;La atrofia muscular espinal, no especificada;129;4-021;3-028;2-072;1-061
3;N;X;6;G10;G13.-*;G13;G13;Atrofia sistémica que afecta principalmente el sistema nervioso central en enfermedades clasificadas en otra parte;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G13.0*;G13.0;G130;Neuromiopatía paraneoplásica y neuropatía;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G13.1*;G13.1;G131;Atrofia sistémica que afecta principalmente a otras del sistema nervioso central en la enfermedad neoplásica;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G13.2*;G13.2;G132;Atrofia sistémica que afecta principalmente el sistema nervioso central en el mixedema;129;4-021;3-028;2-072;1-061
4;T;X;6;G10;G13.8*;G13.8;G138;Atrofia sistémica que afecta principalmente el sistema nervioso central en otras enfermedades clasificadas en otra parte;129;4-021;3-028;2-072;1-061
3;T;X;6;G10;G14;G14;G14;Síndrome postpolio;129;4-021;3-028;2-072;1-061
3;T;X;6;G20;G20;G20;G20;Enfermedad de Parkinson;121;4-021;3-028;2-072;1-061
3;N;X;6;G20;G21.-;G21;G21;El parkinsonismo secundario;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G21.0;G21.0;G210;El síndrome neuroléptico maligno;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G21.1;G21.1;G211;Otros parkinsonismo inducido por fármacos secundaria;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G21.2;G21.2;G212;El parkinsonismo secundario debido a otros agentes externos;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G21.3;G21.3;G213;Parkinsonismo postencefalítico;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G21.4;G21.4;G214;Parkinsonismo vascular;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G21.8;G21.8;G218;Parkinsonismo secundario otros;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G21.9;G21.9;G219;El parkinsonismo secundario, no especificados;129;4-021;3-028;2-072;1-061
3;T;X;6;G20;G22*;G22;G22;Parkinsonismo en enfermedades clasificadas en otra parte;129;4-021;3-028;2-072;1-061
3;N;X;6;G20;G23.-;G23;G23;Otras enfermedades degenerativas de los ganglios basales;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G23.0;G23.0;G230;La enfermedad de Hallervorden-Spatz;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G23.1;G23.1;G231;Oftalmoplejía supranuclear progresiva [Steele-Richardson-Olszewski];129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G23.2;G23.2;G232;Degeneración estriatonigral;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G23.8;G23.8;G238;Otras especifican las enfermedades degenerativas de los ganglios basales;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G23.9;G23.9;G239;La enfermedad degenerativa de los ganglios basales, no especificada;129;4-021;3-028;2-072;1-061
3;N;X;6;G20;G24.-;G24;G24;Distonía;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G24.0;G24.0;G240;Distonía inducida por drogas;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G24.1;G24.1;G241;Idiopática familiar Distonía;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G24.2;G24.2;G242;Idiopática no familiar distonía;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G24.3;G24.3;G243;Tortícolis espasmódica;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G24.4;G24.4;G244;Idiopática orofacial distonía;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G24.5;G24.5;G245;Blefaroespasmo;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G24.8;G24.8;G248;Otros distonía;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G24.9;G24.9;G249;Distonía, no especificada;129;4-021;3-028;2-072;1-061
3;N;X;6;G20;G25.-;G25;G25;Otros trastornos extrapiramidales y movimiento;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G25.0;G25.0;G250;El temblor esencial;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G25.1;G25.1;G251;Temblor inducido por fármacos;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G25.2;G25.2;G252;Otras formas especificadas de temblor;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G25.3;G25.3;G253;Mioclono;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G25.4;G25.4;G254;Corea inducida por fármacos;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G25.5;G25.5;G255;Corea de otros;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G25.6;G25.6;G256;Inducida por drogas tics y otros tics de origen orgánico;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G25.8;G25.8;G258;Extrapiramidales que se especifique y trastornos del movimiento;129;4-021;3-028;2-072;1-061
4;T;X;6;G20;G25.9;G25.9;G259;Trastorno extrapiramidal y el movimiento, no especificado;129;4-021;3-028;2-072;1-061
3;T;X;6;G20;G26*;G26;G26;Trastornos extrapiramidales y del movimiento en enfermedades clasificadas en otra parte;129;4-021;3-028;UNDEF;UNDEF
3;N;X;6;G30;G30.-;G30;G30;La enfermedad de Alzheimer;122;4-021;3-028;2-050;1-060
4;T;X;6;G30;G30.0;G30.0;G300;La enfermedad de Alzheimer de inicio temprano;122;4-021;3-028;2-050;1-060
4;T;X;6;G30;G30.1;G30.1;G301;La enfermedad de Alzheimer de inicio tardío, con;122;4-021;3-028;2-050;1-060
