LEVEL;PLACE;TYPE;CHAPTER_CODE;BLOCK_CODE;CODE_W;CODE;CODE_WITHOUT_DOT;TITLE;M1;M2;M3;M4;M
4;T;S;04;E10;E13.5;E13.5;E135;Other specified diabetes mellitus: With peripheral circulatory complications;104;4-044;3-025;2-046;1-052
4;T;S;04;E10;E13.6;E13.6;E136;Other specified diabetes mellitus: With other specified complications;104;4-044;3-025;2-046;1-052
4;T;S;04;E10;E13.7;E13.7;E137;Other specified diabetes mellitus: With multiple complications;104;4-044;3-025;2-046;1-052
4;T;S;04;E10;E13.8;E13.8;E138;Other specified diabetes mellitus: With unspecified complications;104;4-044;3-025;2-046;1-052
4;T;S;04;E10;E13.9;E13.9;E139;Other specified diabetes mellitus: Without complications;104;4-044;3-025;2-046;1-052
3;N;X;04;E10;E14.-;E14;E14;Unspecified diabetes mellitus;104;4-044;3-025;2-046;1-052
4;T;S;04;E10;E14.0;E14.0;E140;Unspecified diabetes mellitus: With coma;104;4-044;3-025;2-046;1-052
4;T;S;04;E10;E14.1;E14.1;E141;Unspecified diabetes mellitus: With ketoacidosis;104;4-044;3-025;2-046;1-052
4;T;S;04;E10;E14.2;E14.2;E142;Unspecified diabetes mellitus: With renal complications;104;4-044;3-025;2-046;1-052
4;T;S;04;E10;E14.3;E14.3;E143;Unspecified diabetes mellitus: With ophthalmic complications;104;4-044;3-025;2-046;1-052
4;T;S;04;E10;E14.4;E14.4;E144;Unspecified diabetes mellitus: With neurological complications;104;4-044;3-025;2-046;1-052
4;T;S;04;E10;E14.5;E14.5;E145;Unspecified diabetes mellitus: With peripheral circulatory complications;104;4-044;3-025;2-046;1-052
4;T;S;04;E10;E14.6;E14.6;E146;Unspecified diabetes mellitus: With other specified complications;104;4-044;3-025;2-046;1-052
4;T;S;04;E10;E14.7;E14.7;E147;Unspecified diabetes mellitus: With multiple complications;104;4-044;3-025;2-046;1-052
4;T;S;04;E10;E14.8;E14.8;E148;Unspecified diabetes mellitus: With unspecified complications;104;4-044;3-025;2-046;1-052
4;T;S;04;E10;E14.9;E14.9;E149;Unspecified diabetes mellitus: Without complications;104;4-044;3-025;2-046;1-052
3;T;X;04;E15;E15;E15;E15;Nondiabetic hypoglycaemic coma;111;4-044;3-025;2-072;1-054
3;N;X;04;E15;E16.-;E16;E16;Other disorders of pancreatic internal secretion;111;4-044;3-025;2-072;1-054
4;T;X;04;E15;E16.0;E16.0;E160;Drug-induced hypoglycaemia without coma;111;4-044;3-025;2-072;1-054
4;T;X;04;E15;E16.1;E16.1;E161;Other hypoglycaemia;111;4-044;3-025;2-072;1-054
4;T;X;04;E15;E16.2;E16.2;E162;Hypoglycaemia, unspecified;111;4-044;3-025;2-072;1-054
4;T;X;04;E15;E16.3;E16.3;E163;Increased secretion of glucagon;111;4-044;3-025;2-072;1-054
4;T;X;04;E15;E16.4;E16.4;E164;Abnormal secretion of gastrin;111;4-044;3-025;2-072;1-054
4;T;X;04;E15;E16.8;E16.8;E168;Other specified disorders of pancreatic internal secretion;111;4-044;3-025;2-072;1-054
4;T;X;04;E15;E16.9;E16.9;E169;Disorder of pancreatic internal secretion, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E20.-;E20;E20;Hypoparathyroidism;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E20.0;E20.0;E200;Idiopathic hypoparathyroidism;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E20.1;E20.1;E201;Pseudohypoparathyroidism;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E20.8;E20.8;E208;Other hypoparathyroidism;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E20.9;E20.9;E209;Hypoparathyroidism, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E21.-;E21;E21;Hyperparathyroidism and other disorders of parathyroid gland;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E21.0;E21.0;E210;Primary hyperparathyroidism;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E21.1;E21.1;E211;Secondary hyperparathyroidism, not elsewhere classified;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E21.2;E21.2;E212;Other hyperparathyroidism;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E21.3;E21.3;E213;Hyperparathyroidism, unspecified;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E21.4;E21.4;E214;Other specified disorders of parathyroid gland;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E21.5;E21.5;E215;Disorder of parathyroid gland, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E22.-;E22;E22;Hyperfunction of pituitary gland;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E22.0;E22.0;E220;Acromegaly and pituitary gigantism;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E22.1;E22.1;E221;Hyperprolactinaemia;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E22.2;E22.2;E222;Syndrome of inappropriate secretion of antidiuretic hormone;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E22.8;E22.8;E228;Other hyperfunction of pituitary gland;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E22.9;E22.9;E229;Hyperfunction of pituitary gland, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E23.-;E23;E23;Hypofunction and other disorders of pituitary gland;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E23.0;E23.0;E230;Hypopituitarism;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E23.1;E23.1;E231;Drug-induced hypopituitarism;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E23.2;E23.2;E232;Diabetes insipidus;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E23.3;E23.3;E233;Hypothalamic dysfunction, not elsewhere classified;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E23.6;E23.6;E236;Other disorders of pituitary gland;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E23.7;E23.7;E237;Disorder of pituitary gland, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E24.-;E24;E24;Cushing's syndrome;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E24.0;E24.0;E240;Pituitary-dependent Cushing's disease;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E24.1;E24.1;E241;Nelson's syndrome;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E24.2;E24.2;E242;Drug-induced Cushing's syndrome;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E24.3;E24.3;E243;Ectopic ACTH syndrome;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E24.4;E24.4;E244;Alcohol-induced pseudo-Cushing's syndrome;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E24.8;E24.8;E248;Other Cushing's syndrome;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E24.9;E24.9;E249;Cushing's syndrome, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E25.-;E25;E25;Adrenogenital disorders;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E25.0;E25.0;E250;Congenital adrenogenital disorders associated with enzyme deficiency;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E25.8;E25.8;E258;Other adrenogenital disorders;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E25.9;E25.9;E259;Adrenogenital disorder, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E26.-;E26;E26;Hyperaldosteronism;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E26.0;E26.0;E260;Primary hyperaldosteronism;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E26.1;E26.1;E261;Secondary hyperaldosteronism;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E26.8;E26.8;E268;Other hyperaldosteronism;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E26.9;E26.9;E269;Hyperaldosteronism, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E27.-;E27;E27;Other disorders of adrenal gland;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E27.0;E27.0;E270;Other adrenocortical overactivity;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E27.1;E27.1;E271;Primary adrenocortical insufficiency;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E27.2;E27.2;E272;Addisonian crisis;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E27.3;E27.3;E273;Drug-induced adrenocortical insufficiency;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E27.4;E27.4;E274;Other and unspecified adrenocortical insufficiency;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E27.5;E27.5;E275;Adrenomedullary hyperfunction;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E27.8;E27.8;E278;Other specified disorders of adrenal gland;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E27.9;E27.9;E279;Disorder of adrenal gland, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E28.-;E28;E28;Ovarian dysfunction;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E28.0;E28.0;E280;Ovarian dysfunction: Estrogen excess;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E28.1;E28.1;E281;Ovarian dysfunction: Androgen excess;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E28.2;E28.2;E282;Polycystic ovarian syndrome;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E28.3;E28.3;E283;Primary ovarian failure;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E28.8;E28.8;E288;Other ovarian dysfunction;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E28.9;E28.9;E289;Ovarian dysfunction, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E29.-;E29;E29;Testicular dysfunction;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E29.0;E29.0;E290;Testicular hyperfunction;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E29.1;E29.1;E291;Testicular hypofunction;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E29.8;E29.8;E298;Other testicular dysfunction;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E29.9;E29.9;E299;Testicular dysfunction, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E30.-;E30;E30;Disorders of puberty, not elsewhere classified;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E30.0;E30.0;E300;Delayed puberty;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E30.1;E30.1;E301;Precocious puberty;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E30.8;E30.8;E308;Other disorders of puberty;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E30.9;E30.9;E309;Disorder of puberty, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E31.-;E31;E31;Polyglandular dysfunction;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E31.0;E31.0;E310;Autoimmune polyglandular failure;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E31.1;E31.1;E311;Polyglandular hyperfunction;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E31.8;E31.8;E318;Other polyglandular dysfunction;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E31.9;E31.9;E319;Polyglandular dysfunction, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E32.-;E32;E32;Diseases of thymus;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E32.0;E32.0;E320;Persistent hyperplasia of thymus;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E32.1;E32.1;E321;Abscess of thymus;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E32.8;E32.8;E328;Other diseases of thymus;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E32.9;E32.9;E329;Disease of thymus, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E34.-;E34;E34;Other endocrine disorders;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E34.0;E34.0;E340;Carcinoid syndrome;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E34.1;E34.1;E341;Other hypersecretion of intestinal hormones;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E34.2;E34.2;E342;Ectopic hormone secretion, not elsewhere classified;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E34.3;E34.3;E343;Short stature, not elsewhere classified;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E34.4;E34.4;E344;Constitutional tall stature;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E34.5;E34.5;E345;Androgen resistance syndrome;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E34.8;E34.8;E348;Other specified endocrine disorders;111;4-044;3-025;2-072;1-054
4;T;X;04;E20;E34.9;E34.9;E349;Endocrine disorder, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E20;E35.-*;E35;E35;Disorders of endocrine glands in diseases classified elsewhere;111;UNDEF;UNDEF;UNDEF;UNDEF
4;T;X;04;E20;E35.0*;E35.0;E350;Disorders of thyroid gland in diseases classified elsewhere;111;UNDEF;UNDEF;UNDEF;UNDEF
4;T;X;04;E20;E35.1*;E35.1;E351;Disorders of adrenal glands in diseases classified elsewhere;111;UNDEF;UNDEF;UNDEF;UNDEF
4;T;X;04;E20;E35.8*;E35.8;E358;Disorders of other endocrine glands in diseases classified elsewhere;111;UNDEF;UNDEF;UNDEF;UNDEF
3;T;X;04;E40;E40;E40;E40;Kwashiorkor;105;4-019;3-024;2-047;1-053
3;T;X;04;E40;E41;E41;E41;Nutritional marasmus;105;4-019;3-024;2-047;1-053
3;T;X;04;E40;E42;E42;E42;Marasmic kwashiorkor;105;4-019;3-024;2-047;1-053
3;T;X;04;E40;E43;E43;E43;Unspecified severe protein-energy malnutrition;105;4-019;3-024;2-047;1-053
3;N;X;04;E40;E44.-;E44;E44;Protein-energy malnutrition of moderate and mild degree;105;4-019;3-024;2-047;1-053
4;T;X;04;E40;E44.0;E44.0;E440;Moderate protein-energy malnutrition;105;4-019;3-024;2-047;1-053
4;T;X;04;E40;E44.1;E44.1;E441;Mild protein-energy malnutrition;105;4-019;3-024;2-047;1-053
3;T;X;04;E40;E45;E45;E45;Retarded development following protein-energy malnutrition;105;4-019;3-024;2-047;1-053
3;T;X;04;E40;E46;E46;E46;Unspecified protein-energy malnutrition;105;4-019;3-024;2-047;1-053
3;N;X;04;E50;E50.-;E50;E50;Vitamin A deficiency;106;4-019;3-024;2-072;1-054
4;T;X;04;E50;E50.0;E50.0;E500;Vitamin A deficiency with conjunctival xerosis;106;4-019;3-024;2-072;1-054
4;T;X;04;E50;E50.1;E50.1;E501;Vitamin A deficiency with Bitot's spot and conjunctival xerosis;106;4-019;3-024;2-072;1-054
4;T;X;04;E50;E50.2;E50.2;E502;Vitamin A deficiency with corneal xerosis;106;4-019;3-024;2-072;1-054
4;T;X;04;E50;E50.3;E50.3;E503;Vitamin A deficiency with corneal ulceration and xerosis;106;4-019;3-024;2-072;1-054
4;T;X;04;E50;E50.4;E50.4;E504;Vitamin A deficiency with keratomalacia;106;4-019;3-024;2-072;1-054
4;T;X;04;E50;E50.5;E50.5;E505;Vitamin A deficiency with night blindness;106;4-019;3-024;2-072;1-054
4;T;X;04;E50;E50.6;E50.6;E506;Vitamin A deficiency with xerophthalmic scars of cornea;106;4-019;3-024;2-072;1-054
4;T;X;04;E50;E50.7;E50.7;E507;Other ocular manifestations of vitamin A deficiency;106;4-019;3-024;2-072;1-054
4;T;X;04;E50;E50.8;E50.8;E508;Other manifestations of vitamin A deficiency;106;4-019;3-024;2-072;1-054
4;T;X;04;E50;E50.9;E50.9;E509;Vitamin A deficiency, unspecified;106;4-019;3-024;2-072;1-054
3;N;X;04;E50;E51.-;E51;E51;Thiamine deficiency;107;4-019;3-024;2-072;1-054
4;T;X;04;E50;E51.1;E51.1;E511;Beriberi;107;4-019;3-024;2-072;1-054
4;T;X;04;E50;E51.2;E51.2;E512;Wernicke's encephalopathy;107;4-019;3-024;2-072;1-054
4;T;X;04;E50;E51.8;E51.8;E518;Other manifestations of thiamine deficiency;107;4-019;3-024;2-072;1-054
4;T;X;04;E50;E51.9;E51.9;E519;Thiamine deficiency, unspecified;107;4-019;3-024;2-072;1-054
3;T;X;04;E50;E52;E52;E52;Niacin deficiency [pellagra];107;4-019;3-024;2-072;1-054
3;N;X;04;E50;E53.-;E53;E53;Deficiency of other B group vitamins;107;4-019;3-024;2-072;1-054
4;T;X;04;E50;E53.0;E53.0;E530;Riboflavin deficiency;107;4-019;3-024;2-072;1-054
4;T;X;04;E50;E53.1;E53.1;E531;Pyridoxine deficiency;107;4-019;3-024;2-072;1-054
4;T;X;04;E50;E53.8;E53.8;E538;Deficiency of other specified B group vitamins;107;4-019;3-024;2-072;1-054
4;T;X;04;E50;E53.9;E53.9;E539;Vitamin B deficiency, unspecified;107;4-019;3-024;2-072;1-054
3;T;X;04;E50;E54;E54;E54;Ascorbic acid deficiency;107;4-019;3-024;2-072;1-054
3;N;X;04;E50;E55.-;E55;E55;Vitamin D deficiency;107;4-019;3-024;2-072;1-054
4;T;X;04;E50;E55.0;E55.0;E550;Rickets, active;107;4-019;3-024;2-072;1-054
4;T;X;04;E50;E55.9;E55.9;E559;Vitamin D deficiency, unspecified;107;4-019;3-024;2-072;1-054
3;N;X;04;E50;E56.-;E56;E56;Other vitamin deficiencies;107;4-019;3-024;2-072;1-054
4;T;X;04;E50;E56.0;E56.0;E560;Deficiency of vitamin E;107;4-019;3-024;2-072;1-054
4;T;X;04;E50;E56.1;E56.1;E561;Deficiency of vitamin K;107;4-019;3-024;2-072;1-054
4;T;X;04;E50;E56.8;E56.8;E568;Deficiency of other vitamins;107;4-019;3-024;2-072;1-054
4;T;X;04;E50;E56.9;E56.9;E569;Vitamin deficiency, unspecified;107;4-019;3-024;2-072;1-054
3;T;X;04;E50;E58;E58;E58;Dietary calcium deficiency;111;4-019;3-024;2-072;1-054
3;T;X;04;E50;E59;E59;E59;Dietary selenium deficiency;111;4-019;3-024;2-072;1-054
3;T;X;04;E50;E60;E60;E60;Dietary zinc deficiency;111;4-019;3-024;2-072;1-054
3;N;X;04;E50;E61.-;E61;E61;Deficiency of other nutrient elements;111;4-019;3-024;2-072;1-054
4;T;X;04;E50;E61.0;E61.0;E610;Copper deficiency;111;4-019;3-024;2-072;1-054
4;T;X;04;E50;E61.1;E61.1;E611;Iron deficiency;111;4-019;3-024;2-072;1-054
4;T;X;04;E50;E61.2;E61.2;E612;Magnesium deficiency;111;4-019;3-024;2-072;1-054
4;T;X;04;E50;E61.3;E61.3;E613;Manganese deficiency;111;4-019;3-024;2-072;1-054
4;T;X;04;E50;E61.4;E61.4;E614;Chromium deficiency;111;4-019;3-024;2-072;1-054
4;T;X;04;E50;E61.5;E61.5;E615;Molybdenum deficiency;111;4-019;3-024;2-072;1-054
4;T;X;04;E50;E61.6;E61.6;E616;Vanadium deficiency;111;4-019;3-024;2-072;1-054
4;T;X;04;E50;E61.7;E61.7;E617;Deficiency of multiple nutrient elements;111;4-019;3-024;2-072;1-054
4;T;X;04;E50;E61.8;E61.8;E618;Deficiency of other specified nutrient elements;111;4-019;3-024;2-072;1-054
4;T;X;04;E50;E61.9;E61.9;E619;Deficiency of nutrient element, unspecified;111;4-019;3-024;2-072;1-054
3;N;X;04;E50;E63.-;E63;E63;Other nutritional deficiencies;111;4-019;3-024;2-072;1-054
4;T;X;04;E50;E63.0;E63.0;E630;Essential fatty acid [EFA] deficiency;111;4-019;3-024;2-072;1-054
4;T;X;04;E50;E63.1;E63.1;E631;Imbalance of constituents of food intake;111;4-019;3-024;2-072;1-054
4;T;X;04;E50;E63.8;E63.8;E638;Other specified nutritional deficiencies;111;4-019;3-024;2-072;1-054
4;T;X;04;E50;E63.9;E63.9;E639;Nutritional deficiency, unspecified;111;4-019;3-024;2-072;1-054
3;N;X;04;E50;E64.-;E64;E64;Sequelae of malnutrition and other nutritional deficiencies;108;4-019;3-024;2-072;1-054
4;T;X;04;E50;E64.0;E64.0;E640;Sequelae of protein-energy malnutrition;108;4-019;3-024;2-072;1-054
4;T;X;04;E50;E64.1;E64.1;E641;Sequelae of vitamin A deficiency;108;4-019;3-024;2-072;1-054
4;T;X;04;E50;E64.2;E64.2;E642;Sequelae of vitamin C deficiency;108;4-019;3-024;2-072;1-054
4;T;X;04;E50;E64.3;E64.3;E643;Sequelae of rickets;108;4-019;3-024;2-072;1-054
4;T;X;04;E50;E64.8;E64.8;E648;Sequelae of other nutritional deficiencies;108;4-019;3-024;2-072;1-054
4;T;X;04;E50;E64.9;E64.9;E649;Sequelae of unspecified nutritional deficiency;108;4-019;3-024;2-072;1-054
3;T;X;04;E65;E65;E65;E65;Localized adiposity;111;4-044;3-025;2-072;1-054
3;N;X;04;E65;E66.-;E66;E66;Obesity;109;4-044;3-025;2-072;1-054
4;T;X;04;E65;E66.0;E66.0;E660;Obesity due to excess calories;109;4-044;3-025;2-072;1-054
4;T;X;04;E65;E66.1;E66.1;E661;Drug-induced obesity;109;4-044;3-025;2-072;1-054
4;T;X;04;E65;E66.2;E66.2;E662;Extreme obesity with alveolar hypoventilation;109;4-044;3-025;2-072;1-054
4;T;X;04;E65;E66.8;E66.8;E668;Other obesity;109;4-044;3-025;2-072;1-054
4;T;X;04;E65;E66.9;E66.9;E669;Obesity, unspecified;109;4-044;3-025;2-072;1-054
3;N;X;04;E65;E67.-;E67;E67;Other hyperalimentation;111;4-044;3-025;2-072;1-054
4;T;X;04;E65;E67.0;E67.0;E670;Hypervitaminosis A;111;4-044;3-025;2-072;1-054
4;T;X;04;E65;E67.1;E67.1;E671;Hypercarotenaemia;111;4-044;3-025;2-072;1-054
4;T;X;04;E65;E67.2;E67.2;E672;Megavitamin-B6 syndrome;111;4-044;3-025;2-072;1-054
4;T;X;04;E65;E67.3;E67.3;E673;Hypervitaminosis D;111;4-044;3-025;2-072;1-054
4;T;X;04;E65;E67.8;E67.8;E678;Other specified hyperalimentation;111;4-044;3-025;2-072;1-054
3;T;X;04;E65;E68;E68;E68;Sequelae of hyperalimentation;111;4-044;3-025;2-072;1-054
3;N;X;04;E70;E70.-;E70;E70;Disorders of aromatic amino-acid metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E70.0;E70.0;E700;Classical phenylketonuria;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E70.1;E70.1;E701;Other hyperphenylalaninaemias;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E70.2;E70.2;E702;Disorders of tyrosine metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E70.3;E70.3;E703;Albinism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E70.8;E70.8;E708;Other disorders of aromatic amino-acid metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E70.9;E70.9;E709;Disorder of aromatic amino-acid metabolism, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E70;E71.-;E71;E71;Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E71.0;E71.0;E710;Maple-syrup-urine disease;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E71.1;E71.1;E711;Other disorders of branched-chain amino-acid metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E71.2;E71.2;E712;Disorder of branched-chain amino-acid metabolism, unspecified;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E71.3;E71.3;E713;Disorders of fatty-acid metabolism;111;4-044;3-025;2-072;1-054
3;N;X;04;E70;E72.-;E72;E72;Other disorders of amino-acid metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E72.0;E72.0;E720;Disorders of amino-acid transport;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E72.1;E72.1;E721;Disorders of sulfur-bearing amino-acid metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E72.2;E72.2;E722;Disorders of urea cycle metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E72.3;E72.3;E723;Disorders of lysine and hydroxylysine metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E72.4;E72.4;E724;Disorders of ornithine metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E72.5;E72.5;E725;Disorders of glycine metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E72.8;E72.8;E728;Other specified disorders of amino-acid metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E72.9;E72.9;E729;Disorder of amino-acid metabolism, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E70;E73.-;E73;E73;Lactose intolerance;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E73.0;E73.0;E730;Congenital lactase deficiency;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E73.1;E73.1;E731;Secondary lactase deficiency;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E73.8;E73.8;E738;Other lactose intolerance;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E73.9;E73.9;E739;Lactose intolerance, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E70;E74.-;E74;E74;Other disorders of carbohydrate metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E74.0;E74.0;E740;Glycogen storage disease;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E74.1;E74.1;E741;Disorders of fructose metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E74.2;E74.2;E742;Disorders of galactose metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E74.3;E74.3;E743;Other disorders of intestinal carbohydrate absorption;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E74.4;E74.4;E744;Disorders of pyruvate metabolism and gluconeogenesis;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E74.8;E74.8;E748;Other specified disorders of carbohydrate metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E74.9;E74.9;E749;Disorder of carbohydrate metabolism, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E70;E75.-;E75;E75;Disorders of sphingolipid metabolism and other lipid storage disorders;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E75.0;E75.0;E750;GM2 gangliosidosis;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E75.1;E75.1;E751;Other gangliosidosis;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E75.2;E75.2;E752;Other sphingolipidosis;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E75.3;E75.3;E753;Sphingolipidosis, unspecified;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E75.4;E75.4;E754;Neuronal ceroid lipofuscinosis;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E75.5;E75.5;E755;Other lipid storage disorders;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E75.6;E75.6;E756;Lipid storage disorder, unspecified;111;4-044;3-025;2-072;1-054
3;N;X;04;E70;E76.-;E76;E76;Disorders of glycosaminoglycan metabolism;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E76.0;E76.0;E760;Mucopolysaccharidosis, type I;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E76.1;E76.1;E761;Mucopolysaccharidosis, type II;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E76.2;E76.2;E762;Other mucopolysaccharidoses;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E76.3;E76.3;E763;Mucopolysaccharidosis, unspecified;111;4-044;3-025;2-072;1-054
4;T;X;04;E70;E76.8;E76.8;E768;Other disorders of glucosaminoglycan metabolism;111;4-044;3-025;2-072;1-054
